iter	Passed	Remaining
0	2	2598
1	5	2473
2	8	2572
3	12	2829
4	16	3000
5	18	2861
6	21	2744
7	41	4766
8	64	6556
9	84	7720
10	96	7996
11	101	7688
12	120	8425
13	133	8601
14	154	9294
15	187	10599
16	206	10968
17	221	11077
18	261	12371
19	268	12080
20	270	11580
21	273	11154
22	282	11020
23	314	11714
24	352	12597
25	379	13040
26	402	13306
27	431	13732
28	447	13729
29	476	14126
30	493	14132
31	514	14274
32	550	14779
33	585	15236
34	611	15439
35	625	15333
36	650	15495
37	677	15696
38	714	16129
39	747	16432
40	758	16234
41	803	16769
42	823	16771
43	844	16784
44	875	17013
45	898	17052
46	939	17424
47	957	17372
48	1035	18379
49	1075	18689
50	1122	19105
51	1126	18776
52	1131	18488
53	1153	18477
54	1201	18881
55	1212	18686
56	1223	18500
57	1247	18513
58	1295	18883
59	1304	18676
60	1306	18376
61	1308	18083
62	1324	17996
63	1347	18000
64	1365	17937
65	1416	18307
66	1467	18655
67	1541	19296
68	1579	19463
69	1594	19340
70	1604	19168
71	1633	19218
72	1687	19558
73	1725	19703
74	1760	19806
75	1773	19676
76	1797	19660
77	1823	19659
78	1828	19439
79	1877	19694
80	1905	19713
81	1947	19877
82	1971	19861
83	1989	19773
84	2036	19977
85	2048	19841
86	2051	19618
87	2054	19399
88	2057	19183
89	2090	19252
90	2126	19350
91	2140	19242
92	2182	19387
93	2209	19389
94	2216	19225
95	2219	19030
96	2236	18953
97	2272	19035
98	2274	18840
99	2276	18648
100	2279	18465
101	2286	18311
102	2288	18131
103	2290	17951
104	2293	17776
105	2295	17604
106	2309	17529
107	2329	17496
108	2339	17382
109	2385	17545
110	2443	17787
111	2475	17837
112	2498	17823
113	2515	17759
114	2540	17764
115	2562	17736
116	2571	17626
117	2606	17690
118	2645	17784
119	2679	17839
120	2697	17790
121	2718	17759
122	2727	17652
123	2734	17531
124	2749	17465
125	2770	17438
126	2794	17426
127	2818	17416
128	2828	17321
129	2856	17336
130	2873	17286
131	2891	17241
132	2916	17237
133	2931	17171
134	2937	17059
135	2941	16937
136	2945	16814
137	2951	16704
138	2955	16584
139	2957	16458
140	2960	16332
141	2962	16210
142	2966	16095
143	2988	16084
144	2994	15984
145	2999	15878
146	3002	15770
147	3004	15653
148	3007	15541
149	3009	15430
150	3014	15330
151	3021	15246
152	3086	15451
153	3089	15345
154	3091	15237
155	3093	15128
156	3094	15021
157	3097	14917
158	3099	14815
159	3101	14712
160	3103	14610
161	3108	14525
162	3122	14480
163	3138	14448
164	3168	14477
165	3185	14451
166	3213	14472
167	3229	14435
168	3244	14398
169	3247	14307
170	3250	14219
171	3267	14192
172	3290	14187
173	3330	14259
174	3356	14271
175	3399	14351
176	3434	14396
177	3451	14367
178	3475	14368
179	3512	14419
180	3524	14370
181	3548	14368
182	3575	14382
183	3580	14302
184	3614	14340
185	3640	14345
186	3670	14365
187	3714	14442
188	3760	14524
189	3777	14494
190	3793	14458
191	3841	14546
192	3872	14567
193	3888	14532
194	3892	14450
195	3894	14364
196	3895	14278
197	3915	14258
198	3941	14261
199	3985	14329
200	3992	14263
201	4008	14228
202	4021	14183
203	4049	14192
204	4069	14174
205	4082	14131
206	4105	14122
207	4120	14085
208	4138	14057
209	4175	14097
210	4201	14098
211	4229	14104
212	4280	14188
213	4283	14112
214	4286	14034
215	4288	13955
216	4290	13878
217	4293	13806
218	4297	13736
219	4299	13662
220	4302	13589
221	4306	13519
222	4310	13454
223	4314	13385
224	4318	13321
225	4321	13250
226	4323	13179
227	4341	13158
228	4358	13131
229	4384	13135
230	4409	13133
231	4423	13097
232	4425	13029
233	4427	12961
234	4429	12893
235	4433	12831
236	4437	12768
237	4439	12704
238	4451	12664
239	4471	12650
240	4521	12719
241	4545	12717
242	4557	12678
243	4584	12681
244	4588	12622
245	4592	12564
246	4595	12502
247	4598	12440
248	4610	12405
249	4659	12468
250	4704	12519
251	4720	12495
252	4736	12468
253	4770	12489
254	4789	12471
255	4808	12454
256	4847	12485
257	4850	12426
258	4874	12421
259	4897	12413
260	4914	12389
261	4944	12400
262	4972	12403
263	4975	12345
264	4978	12285
265	4980	12227
266	4989	12183
267	4993	12129
268	4998	12078
269	5001	12022
270	5004	11965
271	5011	11920
272	5026	11893
273	5052	11893
274	5088	11917
275	5149	11996
276	5184	12017
277	5218	12032
278	5241	12023
279	5255	11993
280	5260	11942
281	5293	11956
282	5295	11901
283	5309	11871
284	5333	11865
285	5366	11877
286	5400	11892
287	5424	11884
288	5460	11902
289	5465	11853
290	5467	11800
291	5470	11747
292	5474	11696
293	5508	11710
294	5546	11732
295	5557	11697
296	5597	11723
297	5602	11674
298	5604	11621
299	5606	11568
300	5610	11518
301	5666	11577
302	5680	11547
303	5710	11552
304	5727	11529
305	5749	11517
306	5767	11497
307	5778	11463
308	5780	11411
309	5785	11364
310	5806	11351
311	5832	11347
312	5867	11359
313	5912	11391
314	5939	11388
315	5956	11366
316	5967	11333
317	5982	11307
318	5995	11276
319	6019	11268
320	6052	11275
321	6090	11291
322	6115	11284
323	6137	11271
324	6164	11266
325	6188	11256
326	6198	11222
327	6219	11207
328	6228	11169
329	6247	11151
330	6278	11152
331	6317	11170
332	6336	11150
333	6355	11131
334	6368	11102
335	6406	11115
336	6414	11078
337	6419	11035
338	6425	10993
339	6453	10990
340	6492	11005
341	6514	10990
342	6534	10972
343	6545	10940
344	6566	10925
345	6586	10907
346	6620	10913
347	6657	10923
348	6675	10902
349	6685	10868
350	6721	10877
351	6762	10892
352	6792	10891
353	6823	10890
354	6840	10868
355	6845	10826
356	6891	10848
357	6926	10854
358	6951	10844
359	6972	10827
360	6987	10800
361	7035	10825
362	7058	10811
363	7089	10809
364	7102	10779
365	7123	10762
366	7134	10731
367	7172	10739
368	7210	10747
369	7243	10747
370	7261	10726
371	7265	10683
372	7268	10640
373	7271	10596
374	7280	10560
375	7283	10518
376	7304	10501
377	7328	10488
378	7347	10468
379	7370	10454
380	7390	10435
381	7396	10398
382	7426	10392
383	7454	10385
384	7489	10388
385	7500	10357
386	7503	10314
387	7506	10272
388	7508	10229
389	7510	10187
390	7519	10153
391	7523	10114
392	7530	10078
393	7555	10067
394	7586	10064
395	7614	10056
396	7638	10044
397	7650	10014
398	7687	10019
399	7726	10025
400	7730	9986
401	7733	9945
402	7747	9919
403	7792	9933
404	7828	9935
405	7866	9940
406	7896	9933
407	7929	9931
408	7957	9922
409	7972	9897
410	8013	9904
411	8057	9915
412	8076	9894
413	8097	9877
414	8120	9862
415	8123	9822
416	8126	9782
417	8128	9742
418	8136	9708
419	8138	9668
420	8139	9628
421	8141	9588
422	8179	9591
423	8183	9553
424	8185	9514
425	8208	9499
426	8223	9475
427	8255	9470
428	8283	9461
429	8317	9459
430	8355	9460
431	8390	9459
432	8438	9471
433	8449	9442
434	8489	9445
435	8497	9413
436	8520	9397
437	8524	9361
438	8529	9326
439	8533	9289
440	8535	9251
441	8537	9213
442	8539	9175
443	8554	9151
444	8605	9165
445	8616	9138
446	8627	9110
447	8651	9095
448	8655	9060
449	8659	9025
450	8663	8989
451	8665	8953
452	8688	8937
453	8716	8927
454	8731	8903
455	8743	8877
456	8772	8868
457	8806	8864
458	8833	8852
459	8853	8834
460	8866	8808
461	8870	8774
462	8891	8757
463	8902	8730
464	8909	8698
465	8915	8666
466	8925	8638
467	8953	8628
468	8977	8613
469	8980	8579
470	8986	8547
471	8989	8512
472	8991	8478
473	8996	8445
474	9004	8417
475	9027	8401
476	9043	8380
477	9046	8345
478	9047	8311
479	9049	8276
480	9056	8247
481	9059	8213
482	9062	8180
483	9065	8147
484	9078	8123
485	9101	8108
486	9135	8104
487	9145	8077
488	9179	8072
489	9202	8056
490	9218	8036
491	9220	8002
492	9223	7969
493	9232	7942
494	9253	7926
495	9256	7894
496	9259	7861
497	9261	7829
498	9263	7797
499	9266	7765
500	9269	7733
501	9273	7703
502	9277	7673
503	9306	7663
504	9321	7641
505	9330	7615
506	9366	7611
507	9382	7590
508	9405	7576
509	9418	7553
510	9421	7522
511	9424	7491
512	9426	7460
513	9433	7433
514	9455	7417
515	9506	7424
516	9524	7405
517	9570	7408
518	9585	7387
519	9600	7366
520	9629	7356
521	9648	7338
522	9661	7315
523	9679	7296
524	9704	7283
525	9715	7259
526	9718	7228
527	9723	7200
528	9726	7170
529	9728	7140
530	9731	7110
531	9745	7088
532	9772	7077
533	9798	7064
534	9824	7051
535	9847	7036
536	9865	7017
537	9886	7001
538	9894	6975
539	9923	6964
540	9936	6942
541	9977	6940
542	10000	6924
543	10010	6900
544	10012	6871
545	10015	6841
546	10021	6815
547	10025	6787
548	10028	6758
549	10030	6729
550	10032	6700
551	10046	6679
552	10049	6651
553	10053	6623
554	10068	6603
555	10080	6581
556	10093	6560
557	10106	6538
558	10111	6511
559	10119	6487
560	10137	6469
561	10166	6458
562	10186	6441
563	10222	6434
564	10226	6407
565	10230	6380
566	10257	6368
567	10278	6351
568	10338	6359
569	10364	6346
570	10377	6324
571	10432	6328
572	10463	6318
573	10490	6305
574	10515	6290
575	10530	6271
576	10538	6246
577	10554	6226
578	10576	6210
579	10595	6192
580	10623	6180
581	10641	6161
582	10659	6143
583	10672	6121
584	10689	6103
585	10698	6079
586	10737	6073
587	10753	6053
588	10766	6032
589	10796	6020
590	10818	6004
591	10837	5986
592	10839	5958
593	10841	5931
594	10844	5905
595	10866	5888
596	10891	5874
597	10893	5847
598	10896	5821
599	10900	5795
600	10914	5774
601	10923	5752
602	10957	5742
603	10960	5716
604	10963	5690
605	10966	5664
606	10970	5638
607	10973	5612
608	10977	5587
609	10980	5562
610	10999	5544
611	11013	5524
612	11061	5521
613	11088	5508
614	11093	5483
615	11096	5457
616	11098	5432
617	11110	5411
618	11142	5400
619	11164	5384
620	11178	5364
621	11200	5348
622	11223	5332
623	11232	5310
624	11250	5292
625	11261	5271
626	11263	5245
627	11265	5220
628	11282	5202
629	11293	5180
630	11327	5170
631	11333	5146
632	11336	5122
633	11339	5097
634	11344	5073
635	11350	5050
636	11352	5025
637	11354	5001
638	11356	4976
639	11358	4951
640	11361	4927
641	11368	4904
642	11372	4881
643	11376	4857
644	11379	4833
645	11390	4813
646	11411	4797
647	11433	4781
648	11461	4768
649	11490	4755
650	11524	4744
651	11540	4726
652	11571	4713
653	11610	4704
654	11658	4699
655	11688	4685
656	11691	4662
657	11693	4638
658	11701	4616
659	11704	4593
660	11707	4569
661	11711	4546
662	11724	4526
663	11785	4526
664	11798	4506
665	11830	4494
666	11854	4478
667	11878	4463
668	11911	4451
669	11939	4437
670	11942	4413
671	11944	4390
672	11946	4366
673	11959	4347
674	11990	4334
675	12021	4321
676	12054	4309
677	12063	4288
678	12069	4266
679	12075	4244
680	12085	4223
681	12118	4211
682	12154	4199
683	12170	4181
684	12182	4161
685	12196	4142
686	12223	4127
687	12250	4113
688	12282	4100
689	12298	4081
690	12301	4058
691	12303	4035
692	12305	4013
693	12308	3990
694	12312	3968
695	12315	3945
696	12322	3924
697	12343	3908
698	12382	3897
699	12394	3877
700	12426	3864
701	12441	3845
702	12472	3832
703	12483	3812
704	12507	3796
705	12544	3784
706	12563	3767
707	12580	3749
708	12606	3733
709	12625	3716
710	12640	3697
711	12652	3678
712	12669	3660
713	12692	3644
714	12716	3628
715	12762	3618
716	12783	3601
717	12793	3581
718	12811	3563
719	12834	3547
720	12837	3525
721	12839	3503
722	12841	3481
723	12843	3459
724	12845	3437
725	12847	3415
726	12850	3393
727	12859	3373
728	12899	3361
729	12932	3348
730	12946	3329
731	12980	3316
732	13006	3300
733	13030	3284
734	13050	3267
735	13078	3251
736	13089	3232
737	13118	3217
738	13139	3200
739	13160	3183
740	13170	3163
741	13195	3147
742	13226	3133
743	13243	3115
744	13257	3096
745	13276	3078
746	13299	3062
747	13320	3045
748	13354	3031
749	13373	3013
750	13385	2994
751	13396	2975
752	13409	2956
753	13424	2937
754	13426	2916
755	13429	2895
756	13431	2874
757	13434	2853
758	13450	2835
759	13469	2817
760	13495	2801
761	13515	2784
762	13551	2770
763	13569	2753
764	13581	2733
765	13613	2719
766	13644	2703
767	13653	2684
768	13668	2666
769	13682	2647
770	13698	2629
771	13716	2611
772	13741	2595
773	13751	2576
774	13758	2556
775	13774	2538
776	13784	2519
777	13817	2504
778	13827	2484
779	13865	2470
780	13877	2452
781	13892	2433
782	13914	2416
783	13967	2405
784	14010	2391
785	14032	2374
786	14081	2361
787	14093	2342
788	14103	2323
789	14118	2305
790	14131	2286
791	14144	2268
792	14177	2252
793	14209	2236
794	14235	2220
795	14247	2201
796	14276	2185
797	14290	2166
798	14314	2149
799	14335	2132
800	14349	2113
801	14367	2095
802	14411	2081
803	14427	2063
804	14435	2044
805	14451	2026
806	14469	2008
807	14497	1991
