iter	RMSE
0	0.1222610517
1	0.1211448337
2	0.1203314177
3	0.1193227198
4	0.1184665553
5	0.1174982848
6	0.116644611
7	0.1157784806
8	0.115000063
9	0.1142624601
10	0.1135722889
11	0.1129977351
12	0.1123507698
13	0.1117504443
14	0.1108598182
15	0.1100632915
16	0.1096351825
17	0.1088498568
18	0.1080997302
19	0.1076332615
20	0.1071650281
21	0.1066279792
22	0.1060346445
23	0.1056386136
24	0.1050475619
25	0.1046955198
26	0.1040866963
27	0.1034047199
28	0.1029285998
29	0.1024202191
30	0.1019343489
31	0.1013972442
32	0.1010076808
33	0.1005642212
34	0.1002134394
35	0.09971108236
36	0.0991130415
37	0.09852304857
38	0.09795252419
39	0.09762876047
40	0.09733044248
41	0.09688765298
42	0.09640422992
43	0.09621082273
44	0.09566855888
45	0.09516681432
46	0.09484609375
47	0.09445667236
48	0.09416817417
49	0.09384179186
50	0.09340620955
51	0.0932031123
52	0.09273216156
53	0.09257170125
54	0.09207921117
55	0.09182652464
56	0.09163818397
57	0.09121331754
58	0.09067465412
59	0.09056227399
60	0.09029356198
61	0.09006662325
62	0.08956682849
63	0.08932144548
64	0.08906486705
65	0.08852806176
66	0.08824630718
67	0.0879986954
68	0.08760318534
69	0.08727309823
70	0.0869705062
71	0.08679532471
72	0.08662919317
73	0.08635158339
74	0.08615038451
75	0.08585790695
76	0.08552287718
77	0.08511421875
78	0.08479441675
79	0.08466130946
80	0.08448808662
81	0.08434560085
82	0.08412494652
83	0.08376100219
84	0.08364553484
85	0.08344502327
86	0.08329276895
87	0.0830805524
88	0.08273071063
89	0.08249721379
90	0.08236802259
91	0.0821662758
92	0.08198554413
93	0.08184855799
94	0.08154027284
95	0.08144431181
96	0.08129655769
97	0.08096405298
98	0.08071014548
99	0.08044379297
100	0.08029765164
101	0.08010230505
102	0.0798863832
103	0.07963592203
104	0.07927737512
105	0.07907255119
106	0.07887993393
107	0.0785917015
108	0.07839653878
109	0.0782245554
110	0.07798544932
111	0.07764851587
112	0.07740618458
113	0.07730754409
114	0.07707923898
115	0.07690721648
116	0.07679570891
117	0.07666239053
118	0.07642956085
119	0.07626238467
120	0.07606515294
121	0.07592743035
122	0.07568017421
123	0.07550568304
124	0.0753031217
125	0.07496940301
126	0.07488252107
127	0.07471610181
128	0.07445281566
129	0.07424732092
130	0.0740601153
131	0.0739779023
132	0.0738175875
133	0.07360998289
134	0.07341312619
135	0.07320698455
136	0.07310559003
137	0.07297141564
138	0.0726876233
139	0.07236291007
140	0.0722275764
141	0.07201709366
142	0.07170548856
143	0.07145073604
144	0.07127062402
145	0.07111257463
146	0.07091709942
147	0.07071610759
148	0.0706180264
149	0.07041927979
150	0.0701917705
151	0.0700913112
152	0.06997494836
153	0.06974672971
154	0.06953890922
155	0.06938147441
156	0.06924998173
157	0.06905807994
158	0.06888065002
159	0.06870192839
160	0.06850061982
161	0.06835085133
162	0.06810485722
163	0.0679386838
164	0.06765522171
165	0.06746506816
166	0.06732978354
167	0.06716281315
168	0.06690513385
169	0.0667023142
170	0.06653064212
171	0.06641671543
172	0.06619939625
173	0.06610624992
174	0.06599443942
175	0.0657622858
176	0.06564375047
177	0.06542701519
178	0.06526961265
179	0.06510349376
180	0.06499562091
181	0.06480109917
182	0.06458472878
183	0.06442178282
184	0.06431882481
185	0.06420309817
186	0.06389700896
187	0.06376842775
188	0.06362617308
189	0.06351576705
190	0.06335519664
191	0.0632712944
192	0.0631770327
193	0.06303677152
194	0.06285199766
195	0.06271364058
196	0.0625370386
197	0.0623643315
198	0.06225402974
199	0.06217872275
200	0.06211684332
201	0.06187235269
202	0.0616082395
203	0.06146500932
204	0.06122629553
205	0.06110063032
206	0.06095436335
207	0.06080395088
208	0.0606918908
209	0.06052311856
210	0.06039933658
211	0.06011514559
212	0.05998006778
213	0.05987222535
214	0.05974784657
215	0.05959961167
216	0.05949942443
217	0.05935011653
218	0.05926632315
219	0.05910553328
220	0.0589292593
221	0.05878927545
222	0.0585334284
223	0.05842873974
224	0.05833453477
225	0.05822865127
226	0.05806055883
227	0.05799530549
228	0.05792092212
229	0.05786609647
230	0.0576854136
231	0.0575738876
232	0.05743102208
233	0.05729185613
234	0.05712025799
235	0.05701711922
236	0.05690623177
237	0.05685329795
238	0.05677127738
239	0.05654314302
240	0.05641659856
241	0.05628739689
242	0.05622479407
243	0.05615329473
244	0.05612570994
245	0.05601085202
246	0.05588627102
247	0.05573376649
248	0.05563230125
249	0.05553845184
250	0.05548911444
251	0.05543362522
252	0.05532122974
253	0.05513529581
254	0.05501651361
255	0.05487449985
256	0.05481894144
257	0.05467062386
258	0.05446965091
259	0.05436487594
260	0.0543121813
261	0.05427110327
262	0.05420172699
263	0.05412903141
264	0.05405496078
265	0.05389517328
266	0.05380071511
267	0.0537309041
268	0.05356482329
269	0.05346220141
270	0.05338194883
271	0.05331297715
272	0.05327784423
273	0.0531209082
274	0.05305806127
275	0.05292659152
276	0.05278516749
277	0.0527667738
278	0.05274842058
279	0.05269732445
280	0.05264007282
281	0.05262275624
282	0.0524979484
283	0.05248145763
284	0.05244851015
285	0.05243120826
286	0.05226311346
287	0.0521215306
288	0.05210662733
289	0.05196559822
290	0.05181514075
291	0.05168607522
292	0.05159145446
293	0.05155496568
294	0.05147521186
295	0.05141908263
296	0.05125957962
297	0.05109658837
298	0.05100501166
299	0.0508281839
300	0.05074527911
301	0.05059264599
302	0.05049579517
303	0.05032008406
304	0.05019466917
305	0.05009572854
306	0.04996970859
307	0.04989975733
308	0.04977132782
309	0.04966086364
310	0.0496279191
311	0.04945365387
312	0.04938059327
313	0.04934692896
314	0.04927734599
315	0.04912045157
316	0.04901807089
317	0.04897287023
318	0.04891331072
319	0.04889861327
320	0.04884680752
321	0.04879574262
322	0.0486757204
323	0.04859101654
324	0.04848086428
325	0.04842751281
326	0.04837989461
327	0.04823070958
328	0.04814776875
329	0.0480208309
330	0.04793699995
331	0.04780137087
332	0.04778365036
333	0.04772630057
334	0.04765925558
335	0.04758510089
336	0.04749175102
337	0.04743100914
338	0.04730536902
339	0.04726874898
340	0.04716754926
341	0.04708910894
342	0.04707291812
343	0.04703008301
344	0.04696491967
345	0.04688177533
346	0.04676611003
347	0.04661296391
348	0.04659796104
349	0.04651002041
350	0.04645058108
351	0.04638761235
352	0.04637403908
353	0.04630472304
354	0.04629322522
355	0.04620065959
356	0.0460870194
357	0.04604719681
358	0.04596407204
359	0.04589231004
360	0.04576411272
361	0.04564359851
362	0.04552651603
363	0.0454833308
364	0.0453401561
365	0.04528994193
366	0.04519110193
367	0.04510230302
368	0.04508479198
369	0.04502808188
370	0.0449494378
371	0.04483672008
372	0.04476875896
373	0.04470368851
374	0.04463531243
375	0.04456333509
376	0.044520206
377	0.04446077786
378	0.04437842371
379	0.04434218092
380	0.04424505915
381	0.04418103128
382	0.0441338072
383	0.04408389849
384	0.04400595108
385	0.04395394586
386	0.04393066181
387	0.04390888148
388	0.04388146806
389	0.04381634107
390	0.04373700563
391	0.04366331534
392	0.04358904838
393	0.04351032833
394	0.04345986552
395	0.04336738459
396	0.04332284927
397	0.04327844456
398	0.04320163695
399	0.04315850671
