date,open,high,low,close,volume,target_return
1610323,38346.53125,38346.53125,30549.599609375,35566.65625,123320567399,-0.0899793235939911
1610409,35516.359375,36568.52734375,32697.9765625,33922.9609375,74773277909,-0.0398877719022813
1610496,33915.12109375,37599.9609375,32584.66796875,37316.359375,69364315979,-0.1844717066534575
1610582,37325.109375,39966.40625,36868.5625,39187.328125,63615990033,-0.1459969521397423
1610668,39156.70703125,39577.7109375,34659.58984375,36825.3671875,67760757881,-0.0681318520457726
1610755,36821.6484375,37864.3671875,35633.5546875,36178.140625,57706187875,-0.0527560884702045
1610841,36163.6484375,36722.3515625,34069.3203125,35791.27734375,52359854336,-0.0747924680932755
1610928,35792.23828125,37299.28515625,34883.84375,36630.07421875,49511702429,-0.0844360406978598
1611014,36642.234375,37755.890625,36069.8046875,36069.8046875,57244195486,-0.0155120225864128
1611100,36050.11328125,36378.328125,33570.4765625,35547.75,66834573161,0.0541339421974667
1611187,35549.3984375,35552.6796875,30250.75,30825.69921875,75643067688,0.197898744946859
1611273,30817.625,33811.8515625,28953.373046875,33005.76171875,77207272511,0.155686359211667
1611360,32985.7578125,33360.9765625,31493.16015625,32067.642578125,48354737975,0.2244745345120997
1611446,32064.376953125,32944.0078125,31106.685546875,32289.37890625,48643830599,0.2048370926924136
1611532,32285.798828125,34802.7421875,32087.787109375,32366.392578125,59897054838,0.4272973032827925
1611619,32358.61328125,32794.55078125,31030.265625,32569.849609375,60255421470,0.4271206660828652
1611705,32564.029296875,32564.029296875,29367.138671875,30432.546875,62576762015,0.4759916013026761
1611792,30441.041015625,33858.3125,30023.20703125,33466.09765625,76517157706,0.4315780860784834
1611878,34318.671875,38406.26171875,32064.814453125,34316.38671875,117894572511,0.3843197406486855
1611964,34295.93359375,34834.70703125,32940.1875,34269.5234375,65141828798,0.3745599850814967
1612051,34270.87890625,34288.33203125,32270.17578125,33114.359375,52754542671,0.4711831961115811
1612137,33114.578125,34638.21484375,32384.228515625,33537.17578125,61400400660,0.4296093059975305
1612224,33533.19921875,35896.8828125,33489.21875,35510.2890625,63088585433,0.385510295541543
1612310,35510.8203125,37480.1875,35443.984375,37472.08984375,61166818159,0.391675992183766
1612396,37475.10546875,38592.17578125,36317.5,36926.06640625,68838074392,0.3995478507359458
1612483,36931.546875,38225.90625,36658.76171875,38144.30859375,58598066402,0.4651761920166866
1612569,38138.38671875,40846.546875,38138.38671875,39266.01171875,71326033653,0.4287042935012877
1612656,39250.19140625,39621.8359375,37446.15234375,38903.44140625,65500641143,0.479045123839763
1612742,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687,0.1734084089733936
1612828,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886,0.0504144703287112
1612915,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896,0.1065748446285368
1613001,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810,-0.0170213282919095
1613088,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196,-0.0245257022267956
1613174,47491.203125,48047.74609375,46392.28125,47105.515625,70250456155,-0.019468261578975
1613260,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228,-0.0734753431509251
1613347,48696.53515625,48875.5703125,46347.4765625,47945.05859375,77069903166,0.0351690798427724
1613433,47944.45703125,50341.1015625,47201.3046875,49199.87109375,77049582886,-0.0166846537247183
1613520,49207.27734375,52533.9140625,49072.37890625,52149.0078125,80820545404,-0.0308877520890034
1613606,52140.97265625,52474.10546875,51015.765625,51679.796875,52054723579,-0.0603452237591636
1613692,51675.98046875,56113.65234375,50937.27734375,55888.1328125,63495496918,-0.1245493054554711
1613779,55887.3359375,57505.2265625,54626.55859375,56099.51953125,68145460026,-0.1281140512218903
1613865,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191,-0.1100670824738194
1613952,57532.73828125,57533.390625,48967.56640625,54207.3203125,92052420332,-0.0361721786595646
1614038,54204.9296875,54204.9296875,45290.58984375,48824.42578125,106102492824,0.1228829896152932
1614124,48835.0859375,51290.13671875,47213.5,49705.33203125,63695521388,0.1268117220510092
1614211,49709.08203125,51948.96875,47093.8515625,47093.8515625,54506565949,0.2274451796968586
1614297,47180.46484375,48370.78515625,44454.84375,46339.76171875,350967941479,0.2372115806662054
1614384,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,0.325939315866621
1614470,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,0.3138069741171754
1614556,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112,0.1264517419801885
1614643,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720,0.1741647430391921
1614729,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975,0.1648781592528554
