iter	Passed	Remaining
0	15	14758
1	29	14252
2	42	13766
3	57	13892
4	75	14459
5	89	14301
6	108	14850
7	123	14763
8	137	14567
9	152	14559
10	168	14654
11	182	14483
12	198	14515
13	218	14811
14	233	14798
15	248	14721
16	265	14816
17	282	14848
18	298	14845
19	318	15069
20	332	14957
21	348	14953
22	363	14894
23	378	14852
24	396	14902
25	418	15125
26	434	15080
27	450	15073
28	467	15080
29	480	14987
30	495	14922
31	515	15018
32	531	15021
33	546	14974
34	566	15047
35	583	15059
36	601	15081
37	620	15127
38	638	15156
39	654	15136
40	670	15104
41	685	15059
42	703	15078
43	722	15120
44	737	15071
45	754	15066
46	769	15021
47	785	14997
48	803	15025
49	822	15049
50	840	15071
51	858	15065
52	871	14993
53	888	14993
54	905	14987
55	923	14997
56	942	15006
57	959	15003
58	975	14987
59	992	14965
60	1008	14944
61	1023	14911
62	1038	14875
63	1053	14835
64	1067	14775
65	1081	14737
66	1096	14691
67	1110	14653
68	1125	14621
69	1141	14595
70	1158	14591
71	1174	14563
72	1191	14555
73	1207	14538
74	1222	14502
75	1238	14492
76	1253	14456
77	1266	14407
78	1282	14377
79	1299	14376
80	1314	14347
81	1333	14363
82	1349	14342
83	1365	14320
84	1384	14337
85	1399	14307
86	1416	14294
87	1430	14259
88	1451	14283
89	1467	14270
90	1485	14262
91	1501	14252
92	1518	14238
93	1533	14205
94	1552	14218
95	1571	14226
96	1589	14223
97	1605	14201
98	1619	14168
99	1639	14183
100	1657	14178
101	1676	14180
102	1692	14165
103	1706	14130
104	1723	14118
105	1741	14113
106	1758	14097
107	1774	14081
108	1792	14079
109	1807	14047
110	1822	14022
111	1836	13989
112	1852	13968
113	1869	13953
114	1885	13933
115	1899	13905
116	1913	13865
117	1928	13841
118	1944	13823
119	1959	13795
120	1978	13800
121	1995	13785
122	2011	13769
123	2026	13746
124	2044	13738
125	2061	13725
126	2081	13731
127	2096	13708
128	2109	13669
129	2124	13643
130	2141	13631
131	2155	13604
132	2174	13604
133	2189	13578
134	2203	13544
135	2216	13513
136	2237	13521
137	2251	13492
138	2269	13485
139	2286	13476
140	2302	13458
141	2317	13431
142	2333	13413
143	2349	13395
144	2366	13382
145	2385	13380
146	2402	13367
147	2417	13346
148	2431	13316
149	2446	13294
150	2464	13283
151	2484	13287
152	2501	13278
153	2516	13253
154	2533	13238
155	2547	13210
156	2564	13200
157	2579	13176
158	2600	13181
159	2618	13172
160	2636	13167
161	2651	13142
162	2670	13138
163	2687	13127
164	2706	13121
165	2728	13133
166	2744	13116
167	2762	13107
168	2781	13099
169	2799	13092
170	2816	13076
171	2833	13065
172	2848	13038
173	2865	13028
174	2879	13000
175	2897	12989
176	2915	12979
177	2931	12961
178	2946	12938
179	2961	12915
180	2979	12906
181	2994	12884
182	3011	12867
183	3029	12860
184	3044	12835
185	3062	12826
186	3080	12818
187	3096	12799
188	3118	12803
189	3133	12782
190	3150	12765
191	3167	12751
192	3182	12731
193	3197	12709
194	3215	12698
195	3232	12684
196	3248	12665
197	3267	12656
198	3281	12632
199	3299	12620
200	3319	12617
201	3335	12600
202	3353	12586
203	3369	12568
204	3385	12549
205	3405	12548
206	3423	12537
207	3439	12517
208	3459	12514
209	3480	12511
210	3496	12495
211	3515	12487
212	3532	12471
213	3549	12455
214	3565	12437
215	3582	12421
216	3598	12404
217	3617	12396
218	3633	12377
219	3650	12363
220	3669	12352
221	3687	12340
222	3706	12333
223	3726	12327
224	3744	12315
225	3763	12307
