iter	RMSE
0	0.1125552645
1	0.1101115333
2	0.1075348314
3	0.1049081072
4	0.1025307787
5	0.1000021638
6	0.09805750049
7	0.09677517168
8	0.09474184196
9	0.09275743573
10	0.0918372844
11	0.08985752939
12	0.08859588838
13	0.08699551945
14	0.08592661329
15	0.08465279346
16	0.08315398345
17	0.08171715256
18	0.08078728125
19	0.0800641672
20	0.07929651247
21	0.07823526377
22	0.07732186956
23	0.07672186879
24	0.07612299531
25	0.07536593843
26	0.0742419772
27	0.07301749719
28	0.07229547126
29	0.07161897397
30	0.07120855934
31	0.07043123205
32	0.06949219034
33	0.06923888693
34	0.06837938952
35	0.06793514712
36	0.0674328357
37	0.06623954501
38	0.06536715027
39	0.06506691933
40	0.0643630468
41	0.06405242809
42	0.06341999418
43	0.06309434446
44	0.06262008541
45	0.06213212035
46	0.06168689347
47	0.06081212498
48	0.06020385512
49	0.05961653647
50	0.05911400014
51	0.05833230012
52	0.05794321656
53	0.05737342299
54	0.05682879434
55	0.05638104412
56	0.05618176737
57	0.05585185967
58	0.05547751744
59	0.05513985202
60	0.05465517561
61	0.05433774084
62	0.05398891497
63	0.05378009112
64	0.05329924637
65	0.05281569115
66	0.0526065581
67	0.05236950107
68	0.05198198806
69	0.05154828122
70	0.05119155248
71	0.05078812965
72	0.05048832341
73	0.05029265592
74	0.04993263005
75	0.04977075828
76	0.04956299344
77	0.04920583887
78	0.04881900644
79	0.04878549612
80	0.04845992977
81	0.04822710319
82	0.0478776756
83	0.04767637531
84	0.04729790727
85	0.04690213243
86	0.04674462809
87	0.04659717817
88	0.04643363501
89	0.04603854855
90	0.04577549312
91	0.04551733209
92	0.04522570817
93	0.04495417836
94	0.044774746
95	0.04447250983
96	0.04401187316
97	0.04375940586
98	0.04361112023
99	0.04359336132
100	0.04339114624
101	0.04316228318
102	0.04287439644
103	0.0425104036
104	0.0423394705
105	0.04205618181
106	0.04197086936
107	0.04173352942
108	0.04158639836
109	0.04128243084
110	0.04096184599
111	0.0407468055
112	0.0404996858
113	0.04048075939
114	0.04028207222
115	0.04013788365
116	0.03996035099
117	0.03951281386
118	0.03945574211
119	0.03914714985
120	0.03885195117
121	0.0386926817
122	0.03830664663
123	0.03829592641
124	0.03811859991
125	0.03798886372
126	0.03776338241
127	0.03757204971
128	0.03749558634
129	0.03739107221
130	0.03714300653
131	0.03693020692
132	0.0368376683
133	0.03651904642
134	0.03640126863
135	0.03615722083
136	0.03606144608
137	0.03602273398
138	0.03599000727
139	0.03584893157
140	0.0357384374
141	0.03555143762
142	0.03522711706
143	0.0349566867
144	0.03481002711
145	0.03460132883
146	0.03447590569
147	0.03437406991
148	0.03424822945
149	0.0340898343
150	0.03395948971
151	0.03383337794
152	0.03364819149
153	0.03362809234
154	0.03346687196
155	0.03330408037
156	0.03309499285
157	0.03297885817
158	0.03287317123
159	0.03272100657
160	0.03269022362
161	0.03267597205
162	0.03255583737
163	0.03235100006
164	0.03207916021
165	0.03191357199
166	0.03182018602
167	0.03172627547
168	0.03168046529
169	0.03166537988
170	0.03166068979
171	0.03155986804
172	0.03154944243
173	0.03147236029
174	0.03127434414
175	0.03115232673
176	0.03099679755
177	0.03089320556
178	0.03070438934
179	0.03053187737
180	0.0303854083
181	0.03029958257
182	0.03013938839
183	0.03004045184
184	0.0300334323
185	0.02991161773
186	0.02972916033
187	0.02964279252
188	0.02952514216
189	0.02951651098
190	0.02951042604
191	0.02938545493
192	0.02928663603
193	0.02925292678
194	0.02923988037
195	0.02913086887
196	0.02912811434
197	0.02910166528
198	0.02908281658
199	0.02904036078
200	0.02887658532
201	0.02880253203
202	0.02865080253
203	0.02853529207
204	0.02837145332
205	0.02821243261
206	0.02803756831
207	0.02801833423
208	0.02783424016
209	0.0277468424
210	0.02759397256
211	0.02756595553
212	0.0274866823
213	0.02735655112
