iter	Passed	Remaining
0	67	61988
1	128	58822
2	153	46836
3	156	35795
4	158	28951
5	160	24370
6	162	21148
7	164	18769
8	167	16921
9	179	16355
10	304	25142
11	338	25557
12	394	27498
13	398	25736
14	401	24172
15	445	25154
16	491	26062
17	509	25492
18	564	26752
19	582	26194
20	600	25692
21	619	25256
22	648	25280
23	667	24909
24	675	24168
25	701	24084
26	760	25140
27	789	25118
28	813	24964
29	847	25120
30	880	25223
31	945	26196
32	1028	27618
33	1087	28299
34	1155	29194
35	1206	29600
36	1208	28817
37	1211	28094
38	1214	27394
39	1215	26717
40	1218	26084
41	1221	25504
42	1223	24920
43	1225	24371
44	1227	23847
45	1231	23363
46	1287	23888
47	1324	24027
48	1331	23641
49	1334	23201
50	1340	22819
51	1344	22413
52	1346	22004
53	1357	21745
54	1361	21392
55	1363	21018
56	1366	20658
57	1372	20374
58	1377	20078
59	1405	20125
60	1419	19971
61	1488	20578
62	1528	20774
63	1578	21089
64	1624	21348
65	1648	21310
66	1679	21359
67	1717	21490
68	1739	21431
69	1789	21700
70	1826	21820
71	1898	22332
72	1918	22236
73	1984	22660
74	1988	22373
75	1991	22085
76	1997	21840
77	1999	21554
78	2000	21275
79	2003	21010
80	2005	20749
81	2007	20494
82	2015	20298
83	2058	20459
84	2093	20539
85	2176	21079
86	2202	21066
87	2225	21015
88	2244	20928
89	2265	20868
90	2276	20710
91	2308	20747
92	2329	20690
93	2351	20637
94	2357	20445
95	2362	20250
96	2365	20043
97	2402	20127
98	2442	20226
99	2474	20268
100	2500	20249
101	2548	20416
102	2553	20229
103	2560	20064
104	2562	19866
105	2564	19669
106	2566	19476
107	2615	19639
108	2632	19559
109	2651	19499
110	2674	19466
111	2719	19592
112	2754	19647
113	2792	19717
114	2800	19580
115	2850	19730
116	2853	19560
117	2855	19385
118	2857	19212
119	2859	19041
120	2870	18931
121	2919	19072
122	2921	18904
123	2923	18742
124	2929	18607
125	2942	18517
126	2966	18502
127	3000	18539
128	3034	18580
129	3037	18434
130	3040	18290
131	3042	18140
132	3044	17993
133	3046	17847
134	3048	17705
135	3050	17564
136	3053	17428
137	3115	17633
138	3176	17823
139	3196	17786
140	3213	17731
141	3240	17729
142	3313	17979
143	3326	17901
144	3352	17897
145	3448	18255
146	3466	18203
147	3480	18131
148	3517	18179
149	3541	18156
150	3543	18024
151	3545	17893
152	3547	17762
153	3550	17634
154	3553	17514
155	3556	17392
156	3558	17269
157	3560	17147
158	3592	17173
159	3621	17180
160	3736	17593
161	3752	17535
162	3791	17582
163	3804	17514
164	3813	17426
165	3816	17314
166	3822	17212
167	3827	17109
168	3851	17092
169	3871	17057
170	3889	17012
171	3988	17323
172	4029	17377
173	4060	17384
174	4079	17342
175	4128	17429
176	4170	17485
177	4204	17501
178	4210	17405
179	4214	17301
180	4217	17194
181	4263	17266
182	4285	17235
183	4335	17318
184	4363	17313
185	4435	17478
186	4458	17451
187	4485	17439
188	4489	17341
189	4492	17237
190	4494	17130
191	4496	17026
192	4554	17133
193	4579	17112
194	4614	17131
195	4620	17044
196	4623	16944
197	4628	16854
198	4630	16755
199	4632	16655
200	4648	16603
201	4672	16585
202	4689	16540
203	4725	16561
204	4733	16487
205	4747	16430
206	4753	16351
207	4772	16314
208	4797	16297
209	4832	16317
210	4870	16343
211	4890	16310
212	4954	16422
213	4986	16426
214	5037	16493
215	5067	16493
216	5092	16475
217	5111	16436
218	5170	16528
219	5214	16566
220	5217	16478
221	5226	16409
222	5262	16425
223	5301	16450
224	5363	16544
225	5390	16527
226	5393	16442
227	5397	16357
228	5400	16271
229	5403	16185
230	5406	16101
231	5409	16019
232	5459	16073
233	5472	16020
234	5506	16026
235	5554	16074
236	5590	16086
237	5633	16118
238	5658	16099
239	5673	16052
240	5697	16027
241	5709	15972
242	5719	15911
243	5754	15918
244	5781	15906
245	5812	15902
246	5827	15855
247	5830	15774
248	5834	15698
249	5837	15620
250	5839	15540
251	5841	15460
252	5843	15381
253	5845	15303
254	5877	15305
255	5883	15236
256	5885	15159
257	5888	15085
258	5890	15011
259	5893	14937
260	5898	14871
261	5900	14797
262	5903	14724
263	5905	14652
264	5918	14605
265	5941	14585
266	5973	14587
267	5997	14569
268	6044	14606
269	6099	14662
270	6119	14632
271	6125	14570
272	6129	14503
273	6166	14516
274	6240	14613
275	6274	14618
276	6309	14624
277	6369	14686
278	6404	14690
279	6438	14694
280	6442	14627
281	6444	14557
282	6448	14491
283	6450	14421
284	6453	14356
285	6465	14310
286	6496	14306
287	6542	14334
288	6575	14335
289	6619	14357
290	6622	14292
291	6624	14225
292	6626	14158
293	6628	14091
294	6630	14025
295	6632	13959
296	6634	13893
297	6679	13919
298	6711	13916
299	6714	13853
300	6719	13795
301	6723	13736
302	6726	13675
303	6737	13630
304	6740	13569
305	6742	13506
306	6816	13588
307	6845	13579
308	6879	13580
309	6944	13643
310	6972	13631
311	7013	13644
312	7060	13669
313	7091	13664
314	7122	13656
315	7178	13697
316	7239	13747
317	7288	13775
318	7312	13753
319	7331	13722
320	7345	13684
321	7379	13681
322	7407	13667
323	7458	13697
324	7521	13747
