iter	R2	RMSE
0	0.01582887962	0.1158632239
1	0.05167164392	0.1137338311
2	0.08425068065	0.111763142
3	0.1153066464	0.1098516748
4	0.1435119764	0.108086374
5	0.1663216788	0.1066374017
6	0.1933161621	0.1048967368
7	0.2152764049	0.1034590904
8	0.2357700313	0.1020991984
9	0.2574763655	0.100638798
10	0.2799250419	0.09910581886
11	0.3037144604	0.09745496913
12	0.3175836707	0.09647949143
13	0.3376508919	0.09505036266
14	0.3596629963	0.09345759483
15	0.3735450987	0.09243899306
16	0.3901057383	0.09120897474
17	0.4066496246	0.08996341049
18	0.4179815639	0.08910019842
19	0.4310985806	0.08809044604
20	0.4424533017	0.08720691523
21	0.4543974929	0.08626775156
22	0.4656477132	0.08537370645
23	0.4813118406	0.0841130667
24	0.4946949954	0.08302083558
25	0.5032927806	0.08231150386
26	0.5176467535	0.08111345553
27	0.5298330886	0.08008226191
28	0.5437344481	0.07888948859
29	0.5517160402	0.07819642531
30	0.5622851838	0.07726911248
31	0.5713668251	0.07646332703
32	0.580893606	0.07560881711
33	0.5893661199	0.07484067395
34	0.5985433965	0.07399963938
35	0.6073031873	0.07318784986
36	0.6154690386	0.07242290769
37	0.6241217723	0.0716034397
38	0.632587949	0.07079245914
39	0.6410848739	0.06996908283
40	0.6478517731	0.06930635413
41	0.6511661018	0.06897943629
42	0.6602260744	0.06807777047
43	0.6648966619	0.06760824731
44	0.6694943629	0.06714284447
45	0.6763360571	0.0664442587
46	0.682824283	0.06577491045
47	0.6882420654	0.06521072943
48	0.6934867169	0.06465988834
49	0.6981984141	0.06416099039
50	0.7019668585	0.0637591591
51	0.7061649355	0.06330851267
52	0.7121641891	0.06265889229
53	0.7142812201	0.06242803911
54	0.7187359824	0.06193945623
55	0.7243742538	0.06131548836
56	0.7297867034	0.06071047884
57	0.7318683642	0.06047617696
58	0.7362685085	0.05997790552
59	0.7413928702	0.05939235518
60	0.7454842799	0.05892066044
61	0.7494903915	0.05845511166
62	0.7535530846	0.05797916997
63	0.7575787541	0.05750368016
64	0.762554811	0.0569104458
65	0.7653421652	0.05657542563
66	0.7695772686	0.05606256456
67	0.7732954828	0.05560839843
68	0.7756743287	0.05531587522
69	0.7794593076	0.05484722599
70	0.7831568439	0.05438550432
71	0.78734895	0.05385723659
72	0.7916947858	0.05330407003
73	0.7950913795	0.05286769978
74	0.7997160331	0.05226770036
75	0.8018432694	0.05198938912
76	0.8044959688	0.0516402289
77	0.8073327699	0.05126420505
78	0.8092598249	0.05100718882
79	0.8120583038	0.05063162561
80	0.8150597797	0.05022569855
81	0.8175253173	0.04988978231
82	0.8193552876	0.04963898896
83	0.823277087	0.04909720067
84	0.8263114153	0.0486738768
85	0.829097359	0.04828193725
86	0.8318171763	0.04789620679
87	0.8333108153	0.04768304832
88	0.8357096634	0.04733869812
89	0.8377382942	0.04704552495
90	0.8402545505	0.04667932293
91	0.843513835	0.04620067003
92	0.8448800998	0.0459985412
93	0.8476229161	0.04559005639
94	0.8501815473	0.04520567455
95	0.8518036443	0.04496028571
96	0.8537913416	0.04465775084
97	0.8562422333	0.04428187066
98	0.8593561851	0.0437996479
99	0.8609803647	0.04354601049
100	0.8632167917	0.04319432517
101	0.8644992488	0.04299135683
102	0.8678740168	0.04245261199
103	0.8695682086	0.04217955853
104	0.873079713	0.04160790249
105	0.8752588489	0.04124916617
106	0.8772672721	0.04091574789
107	0.8787576122	0.04066656974
108	0.8804671268	0.04037885313
109	0.881777977	0.04015683661
110	0.8833421448	0.03989029923
111	0.8848133594	0.0396379656
112	0.8859687116	0.03943867502
113	0.8873495899	0.03919915352
114	0.889070601	0.03889856949
115	0.8906437042	0.03862177201
116	0.891711058	0.03843282917
117	0.8933544045	0.03814009427
118	0.8943269307	0.03796579176
119	0.8953638604	0.0377790606
120	0.8963967048	0.03759214305
121	0.8976206914	0.03736942336
122	0.8986809016	0.0371754264
123	0.9011161974	0.03672593657
124	0.9025902205	0.03645117904
125	0.9042557806	0.03613820537
126	0.9048301733	0.0360296414
127	0.906683319	0.03567713257
128	0.9077550933	0.03547165879
129	0.9090710676	0.03521772893
130	0.909404353	0.03515312722
131	0.9108638561	0.03486881767
132	0.9122284109	0.03460089088
133	0.9133536339	0.03437838549
134	0.9144032271	0.03416952929
135	0.9156847149	0.03391278501
136	0.9157211268	0.03390546153
137	0.91665702	0.03371668068
138	0.917716213	0.03350174557
139	0.9184588813	0.03335021461
140	0.9192593652	0.03318611242
141	0.9200305805	0.03302723921
142	0.9211024634	0.03280514957
143	0.9218679673	0.03264561556
144	0.9230505504	0.03239761642
145	0.9237734492	0.03224507821
146	0.9244508851	0.03210147522
147	0.9252577358	0.03192959614
148	0.9259506116	0.03178125467
149	0.9265695006	0.03164816551
150	0.9275024149	0.03144648228
151	0.9283376818	0.03126480518
152	0.9290038698	0.03111914377
153	0.9296591554	0.03097519789
154	0.9301375391	0.03086968799
155	0.9306073063	0.0307657264
156	0.9316463759	0.0305345183
157	0.932421445	0.03036090766
158	0.9331339727	0.03020042543
159	0.9338296906	0.03004290213
160	0.9346976852	0.02984520652
161	0.9353842095	0.02968791045
162	0.9358153119	0.02958870909
163	0.9365034156	0.02942967612
164	0.9370534374	0.02930193563
165	0.9380825729	0.02906141466
166	0.9385692262	0.02894698215
167	0.9394868921	0.02872996054
168	0.9398822901	0.02863594466
169	0.9406391298	0.02845512053
170	0.9411459496	0.02833338603
171	0.9419411585	0.0281413212
172	0.9429331609	0.0278998719
173	0.9435092993	0.02775867814
174	0.9443490414	0.02755158735
175	0.9448426453	0.02742912888
176	0.9454826422	0.02726953296
177	0.9462695161	0.02707202088
178	0.946731238	0.02695545096
179	0.94742763	0.02677867461
180	0.9478890707	0.02666089408
181	0.9487923034	0.026428829
182	0.9494264149	0.02626468347
183	0.9499876573	0.02611854018
184	0.9504479733	0.02599806417
185	0.9513950642	0.02574841422
186	0.9519918704	0.02558984725
187	0.9523092176	0.02550512896
188	0.9530077124	0.02531766179
189	0.9535386748	0.02517422426
190	0.9539543764	0.02506135103
191	0.9545221208	0.02490636809
192	0.9551379413	0.02473716353
193	0.9554924502	0.02463923067
194	0.9559808245	0.02450367662
195	0.9562187437	0.02443736695
196	0.9566438252	0.0243184438
197	0.9570880107	0.02419355142
198	0.9576469719	0.02403546528
199	0.9582476101	0.02386442474
200	0.9588093544	0.02370334293
201	0.9592060897	0.02358891519
202	0.9595918747	0.02347711089
203	0.9599815799	0.0233636273
204	0.9602435401	0.0232870327
205	0.9607303661	0.0231440163
206	0.9610368605	0.02305352136
207	0.9617219816	0.02284993789
208	0.96224393	0.02269361546
209	0.9625259725	0.02260869453
210	0.9628324944	0.02251603981
211	0.9631486343	0.0224200767
212	0.9634843683	0.02231771406
213	0.9637487456	0.02223677593
214	0.9640590208	0.02214140893
215	0.9642764439	0.02207433567
216	0.9647407393	0.0219304176
217	0.9652157906	0.02178218131
218	0.9655328258	0.02168268897
219	0.9657936114	0.0216005054
220	0.9661966091	0.02147288677
221	0.9664026136	0.02140735681
222	0.9666730726	0.02132101807
223	0.9670590233	0.02119720191
224	0.9673753756	0.02109517151
225	0.9678013786	0.02095699159
226	0.9682407167	0.02081352539
227	0.9686299861	0.02068557778
228	0.9689310106	0.02058608983
229	0.9692731991	0.02047241014
230	0.9696121081	0.02035919429
231	0.9698751622	0.02027088261
232	0.9701186258	0.0201888036
233	0.9704052331	0.02009174984
234	0.9707257137	0.01998266734
235	0.970992255	0.01989148857
236	0.9713304638	0.01977518861
237	0.9716320582	0.01967089925
238	0.9719072325	0.01957526106
239	0.9723031798	0.01943682194
240	0.9725720468	0.01934225035
241	0.9728140086	0.01925674539
242	0.9730983743	0.01915576777
243	0.9734766558	0.01902061001
244	0.9738990237	0.01886855651
245	0.9741590536	0.01877433263
246	0.9743938145	0.01868885714
247	0.974794487	0.01854206379
248	0.9749154712	0.01849751013
249	0.975233191	0.01837999242
250	0.9754192819	0.01831081114
251	0.9757157739	0.01820004385
252	0.9760670576	0.01806792789
253	0.9763923884	0.01794470513
254	0.9766038295	0.01786416368
255	0.9769141218	0.0177453063
256	0.9771011739	0.01767326989
257	0.9773407973	0.01758055625
258	0.9774633518	0.01753294874
259	0.9776526391	0.01745916308
260	0.9779810871	0.01733038603
261	0.9781069342	0.01728078995
262	0.9783112966	0.01719994648
263	0.9785418968	0.01710826487
264	0.978861968	0.01698019118
265	0.9791869744	0.01684914664
266	0.9793639026	0.01677737782
267	0.9795473536	0.0167026375
268	0.9797832615	0.01660603111
269	0.97996608	0.01653077703
270	0.980145477	0.01645659682
271	0.9804746589	0.01631960397
272	0.9807639484	0.01619825631
273	0.9809092739	0.01613695263
274	0.9811824768	0.01602107048
275	0.9813665205	0.01594253138
276	0.9814730725	0.01589688387
277	0.9816935777	0.01580199931
278	0.9818086324	0.01575226375
279	0.9820297629	0.01565623042
280	0.9822156919	0.01557502626
281	0.9823698745	0.01550736474
282	0.9824572562	0.01546888678
283	0.9826045587	0.01540380547
284	0.9828272321	0.0153048984
285	0.9829860277	0.01523397226
286	0.9831884345	0.01514308566
287	0.9833208509	0.01508333044
288	0.9834341001	0.01503203632
289	0.9835493653	0.01497964874
290	0.9837122235	0.01490531644
291	0.9837850027	0.01487197823
292	0.9839356488	0.01480273264
293	0.98410119	0.01472626496
294	0.9843591123	0.01460632633
295	0.9844791654	0.01455016221
296	0.9846808784	0.01445530406
297	0.9848244904	0.01438738755
298	0.9849478079	0.01432881173
299	0.9851433192	0.0142354499
300	0.985287292	0.01416630567
301	0.9854400983	0.01409254799
302	0.9855365693	0.01404578316
303	0.9856630523	0.01398423296
304	0.985787036	0.01392363493
305	0.9859767654	0.01383038913
306	0.9861080635	0.01376549063
307	0.9862461089	0.01369692541
308	0.9864159671	0.01361208533
309	0.9865493932	0.01354506955
310	0.9866132888	0.01351285905
311	0.986747425	0.01344498852
312	0.9868698309	0.01338275292
313	0.9869977055	0.01331742622
314	0.9871234571	0.01325287004
315	0.987288838	0.01316748789
316	0.9874210846	0.01309881167
317	0.9875579138	0.01302737467
318	0.9876581459	0.01297479501
319	0.9878395327	0.01287909754
320	0.9879788015	0.01280513571
321	0.9881080135	0.01273613059
322	0.9881735717	0.01270097621
323	0.9882810654	0.0126431231
324	0.9883878784	0.01258537289
325	0.9885355398	0.0125050982
326	0.9887443072	0.01239071636
327	0.9888411095	0.01233731941
328	0.988981073	0.01225970314
329	0.9890945659	0.01219640336
330	0.9892194378	0.01212637529
331	0.9893168736	0.01207145121
332	0.9894021657	0.01202316651
333	0.9895054821	0.01196441713
334	0.9896298445	0.01189331535
335	0.989680907	0.01186399795
336	0.9897496588	0.01182440951
337	0.9898374972	0.01177363693
338	0.9899647069	0.01169971631
339	0.9900900156	0.0116264408
340	0.9902451594	0.01153507408
341	0.9903451662	0.01147579286
342	0.9904317967	0.01142419212
343	0.9905471585	0.01135511372
344	0.9906047217	0.01132048737
345	0.990713199	0.0112549448
346	0.9907376605	0.01124011223
347	0.9909417149	0.0111156098
348	0.9909782072	0.01109319698
349	0.9910718372	0.01103548313
350	0.9911508638	0.01098653491
351	0.9912530551	0.01092291352
352	0.9913905817	0.01083670385
353	0.9914749448	0.01078347908
354	0.9915479906	0.01073718126
355	0.9916403191	0.01067837459
356	0.991684055	0.01065040458
357	0.9917740227	0.01059263612
358	0.9918583662	0.01053819139
359	0.9919570547	0.01047412757
360	0.992010921	0.01043899424
361	0.9920538698	0.01041089677
362	0.9921069477	0.01037606752
363	0.9921730086	0.01033255504
364	0.992253228	0.01027946916
365	0.9923417553	0.01022056539
366	0.9924081802	0.01017614407
367	0.9924626887	0.01013954642
368	0.9925565309	0.0100762282
369	0.9926246743	0.01002999927
370	0.9926719328	0.009997813266
371	0.9927437354	0.009948711958
372	0.9928051203	0.009906541598
373	0.9928814005	0.009853887044
374	0.992912454	0.009832370712
375	0.9929680211	0.009793751523
376	0.9930424325	0.009741795615
377	0.993142279	0.009671641875
378	0.9932231593	0.009614438788
379	0.9932677809	0.009582733724
380	0.993323576	0.009542941379
381	0.9933933896	0.009492916215
382	0.9934514464	0.009451113791
383	0.993516165	0.009404295739
384	0.9935662714	0.009367887563
385	0.9935868996	0.009352857529
386	0.9936241129	0.009325682125
387	0.9936779115	0.00928625461
388	0.9937506514	0.009232677681
389	0.9937966473	0.009198638226
390	0.9938256932	0.009177077553
391	0.9938843174	0.009133406091
392	0.9939245714	0.009103298049
393	0.9939757579	0.009064868539
394	0.9940417051	0.009015115582
395	0.9940631872	0.008998849252
396	0.9940995036	0.008971283355
397	0.9941414328	0.008939351411
398	0.9942013063	0.008893554777
399	0.9942612375	0.008847476698
400	0.994319619	0.008802358111
401	0.9944051096	0.008735868561
402	0.9944513851	0.008699666236
403	0.9945089863	0.008654392027
404	0.9945676426	0.008608043804
405	0.9946206011	0.008565982352
406	0.994660249	0.008534356944
407	0.9947140599	0.008491245947
408	0.9947751999	0.008441995931
409	0.9948173698	0.00840785883
410	0.9948624524	0.008371209901
411	0.9949440106	0.008304497834
412	0.9950274975	0.00823564853
413	0.9950690044	0.008201203883
414	0.9950797951	0.008192225404
415	0.9951457584	0.008137125128
416	0.9951917609	0.008098476499
417	0.9952270402	0.008068711513
418	0.99526704	0.008034830455
419	0.9953056531	0.008001987861
